TERM,COLLEGE,DEPARTMENT,DEGREE,MAJOR,GPA
202401,AS,PHYS,BS,PHY,3.043103
202401,AS,PHYS,BS,PHY,2.507692
202401,AS,PHYS,PHD,PHY,3.807143
202401,AS,PHYS,BS,PHY,3.725424
202401,AS,PHYS,BS,PHY,4.171429
202401,AS,PHYS,BS,PHY,2.304274
202401,AS,PHYS,BS,PHY,3.899099
202401,AS,PHYS,BS,PHY,0.0
202401,AS,PHYS,BS,PHY,0.408333
202401,AS,PHYS,BS,PHY,2.889873
202401,AS,PHYS,BS,PHY,1.685577
202401,AS,PHYS,PHD,PHY,3.828571
202401,AS,PHYS,BS,PHY,4.22
202401,AS,PHYS,BS,PHY,3.778571
202401,AS,PHYS,BS,PHY,3.426667
202401,AS,PHYS,BS,PHY,2.467857
202401,AS,PHYS,BS,PHY,4.16
202401,AS,PHYS,BS,PHY,2.546154
202401,AS,PHYS,PHD,PHY,4.042857
202401,AS,PHYS,BS,PHY,2.693023
